,id,transcription
0,CMmsscVN-js.mp4,"anyone anyone is thinking taking any chances just take a look at me. I'm in the Intensive Care Unit. I can't breathe without this. they've had to so that into my artery. I've got cannula. I know the cannula. and a catheter I'm actually Ten times better right now and what I was before, please none of you take any chances, I mean it because if it gets really bad. And you're going to end up here. Okay. And I'm just going to fight this. So once again, don't take any chances."
1,Akp-UVc4srk.mp4,"The covid-19 pandemic has created immediate and unprecedented challenges in education. Excellence and Equity cornerstones of good education systems are being challenged in every part of the world. Our greatest concern is that differences in Parental involvement and access to technology will exacerbate inequality. at the same time as in every major challenge, this is an opportunity to adapt and as important as continuing quality education is it is just as important to maintain mental and physical well-being for students and parents people all over the world are even turning this situation into a chance to connect there are areas for individuals as well as Educators to reflect on how Improve for this unique Spotlight. We have researched hundreds of examples both big and small on how to help children learn in these extreme times. Our goal is not to provide one recommendation to solve all problems, but rather solutions for different types of challenges around education during this crisis. Everything has happened so fast and unexpectedly, it does not. Seem realistic that there's a holistic solution that is easy to implement and works for everyone. However inspiring individual Solutions have been developed in every country and perhaps we can even combine these different approaches to create a new and impactful education for students around the world."
2,WW6blT3lIZ0.mp4,"This is MC 1 press in with some news. You can use answering questions about the continuing challenges due to the coronavirus question 1 I've negotiated have been selected for PCs orders, but if not receive orders yet. What should I do as you can imagine detailers are very busy right now dealing with all those who have orders in hand. The situation is impacting more than 20 thousands of our Shipmates. So everyone in the detailing process is asking for your patience for now remain in place and let those who have orders get through to an operator at the my Navy career center. If you really can't wait to ask you a question.Send Em NCC your question by email question 2. I don't want to get my family or shipmate thick what are some of the warning signs of the coronavirus in adults emergency warning signs for covid-19 include difficulty breathing or shortness of breath persistent pain or pressure in the chest new confusion or inability to arouse and bluish lips or face. If you have additional questions contact MNC see contact center at eight three three, three, three zero 6622 or email them a task MNC see at Navy dot mil and it willYou with your detailer detailers are working 24/7 to help address this quickly changing situations. The NCC is the entry point for getting you the information you need. Again. This is a rapidly changing situation. So keep following my need HR on Facebook Instagram Twitter and YouTube for the latest news. Thanks for watching."
3,BTx1vELv7zU.mp4,"Everyone reacts differently to stressful situations like the covid-19 pandemic. This can be a time of strong emotions in both adults and children. You may feel anxious anger sadness or overwhelmed find ways to reduce your stress to help yourself and the people you care about learn the common signs of stress such as changes in sleep or eating patterns difficulty concentrating worsening orhealth problems and increased use of Alcohol Tobacco or other drugs Take breaks from new stories including social media. Take care of your body take deep breaths stretch or meditate. Try to eat healthy well-balanced meals exercise regularly get plenty of sleep and avoid alcohol and drugs make time to unwind try to do activities. You enjoy connect with others by phone text or email. Share your concerns and feelings with people you trust if you or someone, you know have pre-existing mental health conditions continue with treatment and be aware of new or worsening symptoms contact a health care provider with any concerns or if stress gets in the way of daily activities for several days in a row, if you or someone you care about are feeling overwhelmed with emotions like sadness depression. Oppression or anxiety get support by calling 1-800 nine eight five five nine nine zero or text talk with us to 66746 learn more at cdc.gov / covid-19 and coronavirus dot-gov. Let's take care of ourselves our family and our community."
4,WkxbRfvOn6k.mp4,"Thanks, Tony. And we're joined Now by dr. Tom inglesby for advice on how voters can stay healthy and safe as they cast their ballots. Dr. Inglesby is the director of the Center for Health security at the Johns Hopkins Bloomberg School of Public Health. Good morning doctor. Thanks for being with us. How concerned Anthony How concerned are you about coronavirus transmission at polling stations and should people feel safe voting in person. I think if people follow simple simple instructions take normal kind of sensible actions that the risk can be as little as going to the pharmacy or going to the grocery store, but they have to think about it ahead of time plan ahead of time and then act in ways that public health suggests when they're at the at the voting voting place. What about those polling stations wear masks are not required. Yeah, well in every place in the country people should be using masks when they vote. I think I mean it's going backwards to what they should be doing before they even get their people should think about when they can vote where there's where the fewest number of people will be there and in 20 States today. The polls are still open for early voting. So I think I'd recommend going today as opposed to Morrow. There's less density of the of the crowds if you go tomorrow then try to vote at a time when most people aren't there, we know that people Go to the polls and before work or during lunch or after after work is over. So if you can go mid-morning mid-afternoon there less people there. Yeah, before you go you should you bring your pain bring if you need to plan ahead bring a chair. If you need it, bring 60% hand sanitizer or hand sanitizer with more percent alcohol to be safe and look at the sample ballot before you go know who you're going to vote for know what the ballot questions are so that when you're inside, Where the risks are higher than outside you can get in and get out quickly. So that's what I do before you go. But when you're at the pole, then you know follow the things that we're supposed to be following all along wear a mask whether or not your state requires it it's important for everyone and protects your neighbor and you and the second thing you should do is keep your distance when you're in line, make sure that you stay six feet away or more from others and it doesn't matter if people are wearing masks you still need to stay away from them by at least Six feet, you know, and then before you go into the polls or out of the polls, make sure you use hand in hand sanitizer. Yeah, I should say and my polling station early voting last week. Everybody was being extremely careful and everyone is being very respectful of each other. It was very encouraging so hopefully that's being replicated around the country as you've heard. Dr. Fouch. He has said in recent days that that he fears were in for a whole lot of hurt in the coming weeks and that we could not be positioned more poorly. What do you fear is ahead of us at this point? Yeah, unfortunately with the way that the numbers are rising on a daily and weekly basis, I think we're headed for very high numbers of cases more hospitalizations and higher numbers of people dying from this disease. I think it's not a foregone conclusion. I think we do still have our fate in our hands but Governors and other leaders are going to have to change direction in places where cases are surging and people are going to have to change the way that they're acting and change their decision. In places where people where the cases are surging we're at a hundred thousand square 200,000 cases a day. You think it can go a lot higher than that? There is no set Peak for this virus. This virus is looking for people to infect. That's what it does. It hasn't changed since the very beginning and we know that most of the country still is susceptible to this virus is still vulnerable to this virus. So the thing that's going to change it isn't the virus but it's what we decide to do. It's whether we decide to wear masks whether we decide to distance ourselves to not Gather in large numbers, we have to do those things ourselves to change the course. Dr. Tom ingoldsby. Thank you so much for being with us."
5,BZHdZCmvcc4.mp4,"Hello, I'm Jane gun, Deputy dean of the faculty of medicine dentistry and Health Sciences and chief Public Health advisor for the University as we have all seen recently. The government of Victoria has called for educational institutions to remain off campus for the moment to protect the health and well-being of our people as such the majority of our staff and students are focused on online based work and learning it isDocumented that these Public Health restrictions and isolation takes a toll on our mental well-being. Your mental health is just as important as your physical health in this time of uncertainty stay in contact with the university community and make time to connect with friends and family, even if it is only virtually and remember that the university offers a range of support services for students and staff. So we encourage you to to access these if needed while there is no hiding from the fact that these are challenging and extraordinary times. This is an opportunity to try new ways of working or studying and discover approaches that suit us all in the meantime. Take care look after yourself and reach out for support if you need it. We hope to see you back on campus soon."
6,MycbSc8KxFU.mp4,"Hi and welcome to another edition of your health with dr. Christy. My name is dr. Kristy Reisinger. And today I'm flying on a plane and I'd like to give you guys some advice on how to make it as safe as possible. When I first sat down in my seat. The very first thing that I did was disinfect just in fact every single surface that you think you're going to touch during the flight from the tray table to the window to the vent above. In fact everything. The next thing that I would recommend is either wearing the glasses that you wear normally or purchasing a cheap pair of glasses like this or wearing a face shield to protect your eyes during the flight. I plan on wearing these during the entire flight, but they fog up when I talk so I'm not going to wear the right now while filming but this is what they look like and I cleaned the continue to wear them throughout the flight. Like I mentioned one thing that I noticed I'm flying on Southwest That they're very great about keeping the middle seat open and they also boarded more slowly in groups of 10. So allow more time to board. It took us about 45 minutes to board instead of the usual 30 minutes and I next want to talk about air quality on the plane. It would seem as though since in a closed space for a long period of time. It would be really risky. The airlines have always implemented some things to make the air quality safer the way they are. Air is circulated on the plane is in compartments. It doesn't flow from the front to the back of the plane. It actually flows from the floor to the ceiling and also the vents put out HEPA filter are really it's not about the plane itself. It's about the people on the plane and the people that you need to worry about most are the ones that are two rows ahead of you and two rows behind you because no matter how much they are circulated is someone coughs or sneezes. It can't get circulated quickly enough. For the have a filter to remove those particles. Everyone on the plane is required to wear a mask at this point what I think which I think is really helpful. So be sure that you come with a mass. They won't let you get on the plane without one and the last thing that I'd like to mention on the last plane that we wrote on. The only time I felt a little bit uncomfortable is when we exited the plane, so I would try to sit at the front of the plane and exit first aired we know that the air quality tends to disintegrate the longer than a play. It is parked at the gate, which is another reason to try to get off the plane as quickly as possible. Thanks again for joining me."
7,czlICtpYvAU.mp4,"What used to be routine? What was it four or five months ago going to work or school? Seeing friends even grocery shopping has changed so much during this pandemic and add to that for almost everybody some level of financial stress. Well today the health Minister Patti. Hi do Express huge concern for the mental health of Canadians. So while physical distancing and masks can help stop the spread of the virus or at least slow it down. What can we do to take care of our mental help? Well with some guidance tonight is dr. Shimmy Kang a psychiatrist and author.Based here in Vancouver and dr. Thomas Unger psychiatrist in Chief at st. Michael's Hospital in Toronto. We got a lot of questions. We were actually overwhelmed by the number and depth of them and Doctor Kang. Let me put the first one to you. Our daughters are nervous about going back to school. They asked me why is it? Okay they go into a school building in September, but Dad doesn't have to go back to his office downtown. I don't know how to reassure them doctor Kang. What would you suggest? Well these that's a very good curious question smart kids. I would say that first of all, we want to be truthful optimistic and make sure we reassured students and children that the adults are planning and in control because children experience anxiety more let them know that there are protocols between public health and school officials, but remind them that they may not be perfect that they have a voice to express any concern or caution and to work collaboratively with their teachers administrators and most of all their parents and caregivers. That you will be them be there to help guide them and with the tone of optimism, this is a stressful time for everyone. Especially young people. Dr. King you deal with children all the time here in Vancouver and as an author as well, and I guess one of the challenges and I saw this last night on the national with some parents who right or wrong don't have confidence in the back to school plans. So how do they deal with their children when they themselves are anxious? Right? And I think so being truthful is totally fine children can sense You are concerned and so you don't want to lie. So if you do have concerns Express exactly what they are don't give them a laundry list of things that they can't do anything about and then quickly turn to practical solution. So, you know, I'm not quite sure social distancing has been figured out. This is what I would like you to do. I'm going to give you this Noodle and you can measure your space or let's practice The Mask or hand-washing so be very specific and practical at this point with young people and try not to overwhelm them with your own individual. Earns, dr. Unger next question to you, I think twice about leaving home and going out in public and I'm on edge whenever I'm out in public places. I've certainly heard people say things like that. You probably have to what's your advice? Yeah, so this is a weird time if you're not worried, there's something wrong with you. So you got to validate it's normal to be anxious and worried. It's based on reality. There's nothing unusual about that. But that doesn't make it an illness or anything. It just means we have to acknowledge that accept that and then to hide out and have the anxiety overwhelming and paralyze you if we're now allowed out and we're being increasingly allowed to go out and start doing things. It means it's time to begin dipping your toe in the shallow end and gradually moving on and getting used to a manageable amount of anxiety. And it'll get a little better. You know, it's really scary at the beginning but you go with your comfort level you start exposing yourself because we have to learn to live with the anxiety and to live with the reality in a safe as possible ways. We can so I would just acknowledge it validated but then encourage them to begin starting to gradually get out there to the degree that they can comfortably do it because it'll get a little bit better and better as they gradually expose themselves over time and dr. Unger. Let me put the next question to you as well. The pandemic has been absolutely horrible. I was raised to be Hard worker having my job taken away from me is caused endless amounts of anxiety. I want my job back. Yeah, so that I really feel for people like that. I mean this really sucks. It's got significant potential economic impacts and work impacts for a lot of people and that's just a real harsh reality. So I understand how upset they'll be down and said if you're really negative and really feeling down and nothing gets you out of it. Then I think you need to go get checked out contact your health provider family doctor mental health hotline because there's a slight chance that that regular down that you're supposed to feel because of The difficulty can actually slide into a mental health or medical condition we call depression. So if you're to despaired, please get checked out and Doctor Kang we have about 30 seconds left. What kind of on that theme for those people who just are feeling maybe it's not even overwhelming anxiety, but just just nervous about getting into any kind of routine at all your word to them. I would agree with dr. Unger. I think that there is this concept of pandemic fatigue like a precursor to mental health symptoms are characterized by sleep disturbance irritability anxiety of feeling of loneliness. Be careful Be watchful for those and basic self-care routine regular sleep routine regular movement exercise and social connection. It's not socializing but social bonding be very aware. We need to flatten the mental health curve in really help Canadians get through this difficult time. And I don't say this. Glibly it actually is comforting hearing from both of you and we know the lots of questions we didn't get too. So hopefully we can do this again. Thank you very much. Thank you. My pleasure."
8,pBVAnaHxHbM.mp4,"We have to put in place an infrastructure not just here at home. But globally that allows us to see it quickly isolated quickly respond to it so that if and when a new strain of flu like the Spanish Flu crops up Five years from now or a decade from now we've made the investment and we're further along to be able to catch it. The funding we're asking for is needed to keep strengthening our capacity here at home so we can respond to any future Ebola cases. It's needed to help us partner with other countries. Prevent and deal with future outbreaks and threats before they become epidemics. We were lucky with H1N1. That it did not prove to be more deadly. We can't say we're lucky with ebola because obviously it's having a devastating effect in effect in West Africa, but it is not Airborne in its transmission. There are met and likely will come a time in which we have both an airborne disease. That is deadly. And in order for us to deal with that effectively, we have to put in place an infrastructure not just here at home. But globally that allows us to see it quickly isolated quickly respond to a quick so that if and when a new strain of flu like the Spanish Flu crops up Five years from now or a decade from now. We've made the investment. And we're further along to be able to catch it. It is a smart investment for us to make. It's not just Insurance. It is knowing that down the road. We're going to continue to have problems like this particularly in a globalized world. Where You move from one side of the world to the other. In a day, so this is important now but it's also important for our future and our children's future and our grandchildren's future. I cannot think of a better example of an area where We should all agree then passing this emergency funding to fight Ebola. And to set up some of the public health infrastructure that we need to deal with potential outbreaks in the future. You know a lot of people think that goes away in April with the heat as the heat comes in. Typically that will go away at April this moment. We think we have it very much in hand. Dr. Fouch eat said earlier this week that the lag in testing was in fact a failing. Do you take responsibility for that? No, I don't take responsibility at all said that you don't take responsibility. But you did disband the White House pandemic office and the officials that were working in that office left this Administration abruptly. So what responsibility do you take to that and the officials that worked in that office said that you that the White House lost valuable time because that office wasn't disbanded. What do you make of that? Well, I just think it's a See question because what we've done is and Tony had said numerous times that we saved thousands of lives because of the quick closing and when you say me I didn't do it. We have a group of people I could I could ask perhaps by Administration, but I could perhaps ask Tony about that because I don't know anything about Some of the people we cut they haven't been used for many many years and if they if we have a need and we can get them very quickly and rather than spending the money and I'm a business person. I don't like having thousands of people around when you don't need it."
9,iv4mrCE6Tgg.mp4,"Since December 2019 clinicians around the world have reported their findings on the symptoms of the novel coronavirus initially. We thought that fever and dry cough occurred in the majority of patients diagnosed with covid-19 and runny nose. And sore throat. Where are these findings came from One initial study published in the Lancet in January 2020 that was conducted in 99 patients who are diagnosed andAdmitted to hospitals in Wuhan as the number of covid-19 cases continued to spread throughout the world clinicians were learning more and more about the novel virus. in another study published in February 2020, the China medical treatment expert group for covid-19 reported their findings from 1099 hospitalized patients and outpatients with covid-19 similar to the previous study fever and cough where the two most commonly reported symptoms in mild and severe cases cough occurred in 68 percent of patients on admission only 44% of people in the study presented with Seaver however, once hospitalized 89 percent of patients developed a fever other common symptoms reported were fatigued and mucus production headache muscle and joint pains sore throat and chills occurred in 10 to 20% of patients. Other less commonly reported symptoms of covid-19 were nausea or vomiting affecting only five percent of patients and diarrhea occurring in around four percent of patients. Shortness of breath occur at more often in severe cases up until now we only talked about hospitalized patients, but most patients with covid-19 are not admitted to the hospital what are their symptoms in a more recent study published in April 20-21 researchers analyzed data from over 22,000 people living in Iceland to investigate the spread of covid-19. They also looked at symptoms in ambulatory patients. The participants were recruited from the community and not the hospital among the twenty two thousand participants 9000 199 were deemed at high risk for SARS Cove to infection. These included patients who were either symptomatic were returning to Iceland from a high-risk country or had been in contact with someone who was infected with SARS cuff to within this high-risk group of nine thousand one hundred ninety-nine 1221 tested positive for SAR scoff to Affection in the people who tested positive fever occurred in 43 percent of patients and cuff occurred in 28 percent of patients body aches also occurred in about 20% of patients headache was another common symptom reported by covid-19 patients in the community occurring in 21 percent of patients other reported symptoms were fatigued runny nose sore throat and loss of smell or taste comparing the data from hospitalized. Patience and out patients with covid-19 fever occurred at approximately the same rate in both groups of patients, but still less than half of patients presented with fever cough and fatigue seem to be more common in hospitalized patients. Whereas body aches and headaches occurred more frequently in outpatients in a subsequent analyses of the 22,000 patients included in the study 43 percent of participants who tested positive for covid-19. Asymptomatic at the time they were tested highlighting the potential spread of Tsar scoff to among asymptomatic people. Although they didn't track the participants at a later stage the authors argue that it's likely that some of these patients eventually develop symptoms. Reported estimates of asymptomatic cases of covid-19 range from 3 percent to 43 percent. This wide range shows that the significance of asymptomatic disease requires deeper investigation. That's it for now. If you want to improve your understanding of covid-19, make sure to register for a free Matt Mastery trial account and check out our CME accredited courses. So stay safe and see you next time."
