,id,transcription
0,CMmsscVN-js.mp4,anyone anyone is thinking taking any chances just take a look at me.
1,CMmsscVN-js.mp4,I'm in the Intensive Care Unit.
2,CMmsscVN-js.mp4,I can't breathe without this.
3,CMmsscVN-js.mp4,they've had to so that into my artery.
4,CMmsscVN-js.mp4,I've got cannula.
5,CMmsscVN-js.mp4,I know the cannula.
6,CMmsscVN-js.mp4,"and a catheter I'm actually Ten times better right now and what I was before, please none of you take any chances, I mean it because if it gets really bad."
7,CMmsscVN-js.mp4,And you're going to end up here.
8,CMmsscVN-js.mp4,Okay.
9,CMmsscVN-js.mp4,And I'm just going to fight this.
10,CMmsscVN-js.mp4,"So once again, don't take any chances."
11,Akp-UVc4srk.mp4,The covid-19 pandemic has created immediate and unprecedented challenges in education.
12,Akp-UVc4srk.mp4,Excellence and Equity cornerstones of good education systems are being challenged in every part of the world.
13,Akp-UVc4srk.mp4,Our greatest concern is that differences in Parental involvement and access to technology will exacerbate inequality.
14,Akp-UVc4srk.mp4,"at the same time as in every major challenge, this is an opportunity to adapt and as important as continuing quality education is it is just as important to maintain mental and physical well-being for students and parents people all over the world are even turning this situation into a chance to connect there are areas for individuals as well as Educators to reflect on how Improve for this unique Spotlight."
15,Akp-UVc4srk.mp4,We have researched hundreds of examples both big and small on how to help children learn in these extreme times.
16,Akp-UVc4srk.mp4,"Our goal is not to provide one recommendation to solve all problems, but rather solutions for different types of challenges around education during this crisis."
17,Akp-UVc4srk.mp4,"Everything has happened so fast and unexpectedly, it does not."
18,Akp-UVc4srk.mp4,Seem realistic that there's a holistic solution that is easy to implement and works for everyone.
19,Akp-UVc4srk.mp4,However inspiring individual Solutions have been developed in every country and perhaps we can even combine these different approaches to create a new and impactful education for students around the world.
20,WW6blT3lIZ0.mp4,This is MC 1 press in with some news.
21,WW6blT3lIZ0.mp4,"You can use answering questions about the continuing challenges due to the coronavirus question 1 I've negotiated have been selected for PCs orders, but if not receive orders yet."
22,WW6blT3lIZ0.mp4,What should I do as you can imagine detailers are very busy right now dealing with all those who have orders in hand.
23,WW6blT3lIZ0.mp4,The situation is impacting more than 20 thousands of our Shipmates.
24,WW6blT3lIZ0.mp4,So everyone in the detailing process is asking for your patience for now remain in place and let those who have orders get through to an operator at the my Navy career center.
25,WW6blT3lIZ0.mp4,If you really can't wait to ask you a question.Send Em NCC your question by email question 2.
